Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(323.0, 422.0)","(957.0, 429.0)","(572.4653930664062, -509.92181396484375, 294.12884521484375)","(323.99, 423.04)","(958.1, 434.04)"
"(326.0, 422.0)","(956.0, 429.0)","(572.9912109375, -509.4633483886719, 294.4043884277344)","(325.49, 422.72)","(955.84, 434.38)"
"(326.0, 423.0)","(955.0, 430.0)","(572.898681640625, -509.1906433105469, 294.3788757324219)","(326.86, 422.74)","(954.92, 434.29)"
"(326.0, 423.0)","(953.0, 429.0)","(572.5958862304688, -509.0170593261719, 294.2756042480469)","(327.75, 423.11)","(953.38, 434.03)"
"(327.0, 423.0)","(952.0, 430.0)","(572.6985473632812, -508.7126770019531, 294.2821960449219)","(329.05, 423.15)","(952.79, 434.12)"
"(330.0, 422.0)","(951.0, 430.0)","(573.1961669921875, -508.33447265625, 294.4739990234375)","(331.0, 423.25)","(951.63, 434.24)"
"(329.0, 422.0)","(950.0, 430.0)","(572.833984375, -508.32489013671875, 294.2883605957031)","(331.85, 423.16)","(950.82, 434.26)"
"(331.0, 422.0)","(950.0, 430.0)","(573.2766723632812, -508.1002197265625, 294.5182189941406)","(332.47, 423.18)","(948.86, 434.65)"
"(331.0, 423.0)","(948.0, 432.0)","(573.063232421875, -507.63494873046875, 294.3829040527344)","(334.16, 423.38)","(947.16, 434.68)"
"(330.0, 421.0)","(946.0, 435.0)","(572.5733642578125, -507.4535217285156, 293.84771728515625)","(335.71, 423.49)","(946.75, 434.68)"
"(335.0, 423.0)","(946.0, 435.0)","(573.728271484375, -506.7296142578125, 294.5848388671875)","(336.53, 423.5)","(945.26, 434.63)"
"(337.0, 423.0)","(945.0, 435.0)","(574.0280151367188, -506.38262939453125, 294.7427978515625)","(337.51, 423.5)","(944.03, 434.47)"
"(335.0, 421.0)","(943.0, 435.0)","(573.2531127929688, -506.5248107910156, 294.2077331542969)","(339.18, 423.52)","(943.52, 434.57)"
"(337.0, 422.0)","(940.0, 430.0)","(573.1890869140625, -506.2063903808594, 294.497314453125)","(340.17, 423.56)","(942.23, 434.67)"
"(337.0, 422.0)","(940.0, 436.0)","(573.3155517578125, -505.78216552734375, 294.2668151855469)","(340.92, 423.82)","(940.38, 435.01)"
"(339.0, 422.0)","(941.0, 434.0)","(573.85546875, -505.82049560546875, 294.6434326171875)","(341.88, 423.79)","(939.15, 434.95)"
